"ISSN","ALPVM","LOPVM","LEVIKKI","LEVIKKI_S"
"1236-8407","01.01.1996","31.12.0996",6813,NA
"0356-2840","01.01.1993","31.12.1007",84000,NA
"1457-4446","01.01.1847","31.12.1845",350,NA
"0782-6427","01.01.1996","31.12.1988",2711,NA
"0782-5609","01.01.1982","31.12.1981",2614,NA
"0356-1623","01.01.1945","31.12.1845",13550,NA
"0357-3702","01.01.2000","31.12.0200",33215,NA
"0782-6605","01.01.1984","31.12.0198",2252,NA
"0357-9107","01.01.2003","31.12.0003",4098,NA
"0356-4886","01.01.2003","31.12.0200",8039,NA
"0782-5544","01.01.2002","31.12.0200",6956,NA
"1458-6517","01.01.1900","31.12.0900",800,NA
"1458-2740","01.01.1876","31.12.1871",1100,NA
"1457-4632","01.01.1897","31.12.1896",3675,NA
"1458-235X","01.07.1864","13.01.1864",1,NA
"1795-2980","19.09.2004","20.12.0007",9000,NA
"0356-2352","01.01.2007","31.12.0007",118500,NA
"fk14808","01.01.1959","29.12.0195",4200,NA
"0789-8363","01.01.1964","31.12.1946",3721,NA
"1455-6227","01.01.2005","31.12.2004",7159,NA
"0782-5765","01.01.2005","31.12.0005",5626,NA
"1238-7045","01.01.1944","31.12.1914",4050,NA
"1235-810X","01.01.2009","31.12.0209",4419,NA
"fk14980","01.01.1948","31.12.1194",3373,NA
